# revision=b417ed538d0c7c9c2e49bf9914340c81663c360f
# architecture=x86_64 vendor=amd family=25 model=17 stepping=1 microarchitecture="" features=511
# cache_line_bytes=64 l1_data_bytes=32768 l2_bytes=1048576 l3_bytes=33554432 physical_cores=2 logical_cores=4
# requested_threads=4 effective_threads=4 affinity=none spin=adaptive spin_iterations=10000 spin_duration_ns=0 uses_smt=1 uses_efficiency_cores=0 nested=0
# visible_processors=0:0 0:1 0:2 0:3 
dtype,workload,m,n,k,trans_a,trans_b,configuration,tile_m,tile_n,tile_k,pack_b_minimum_elements,repetition,duration_ns
1,large,256,256,256,0,0,1,32,256,256,16384,1,3583893
1,large,256,256,256,0,0,2,64,64,256,16384,1,3575530
1,large,256,256,256,0,0,3,64,256,64,16384,1,3577162
1,large,256,256,256,0,0,4,64,256,256,0,1,3571154
1,large,256,256,256,0,0,5,64,256,256,9223372036854775807,1,5997164
1,large,256,256,256,0,0,6,32,64,128,16384,1,3561640
1,large,256,256,256,0,0,0,64,256,256,16384,1,3580217
1,large,256,256,256,0,0,2,64,64,256,16384,2,3576763
1,large,256,256,256,0,0,3,64,256,64,16384,2,3575130
1,large,256,256,256,0,0,4,64,256,256,0,2,3569221
1,large,256,256,256,0,0,5,64,256,256,9223372036854775807,2,5770464
1,large,256,256,256,0,0,6,32,64,128,16384,2,3580077
1,large,256,256,256,0,0,0,64,256,256,16384,2,3573788
1,large,256,256,256,0,0,1,32,256,256,16384,2,3582440
1,large,256,256,256,0,0,3,64,256,64,16384,3,3572125
1,large,256,256,256,0,0,4,64,256,256,0,3,3581529
1,large,256,256,256,0,0,5,64,256,256,9223372036854775807,3,6020909
1,large,256,256,256,0,0,6,32,64,128,16384,3,3563242
1,large,256,256,256,0,0,0,64,256,256,16384,3,3567989
1,large,256,256,256,0,0,1,32,256,256,16384,3,3575821
1,large,256,256,256,0,0,2,64,64,256,16384,3,3573227
1,large,256,256,256,0,0,4,64,256,256,0,4,3580367
1,large,256,256,256,0,0,5,64,256,256,9223372036854775807,4,6286917
1,large,256,256,256,0,0,6,32,64,128,16384,4,3595750
1,large,256,256,256,0,0,0,64,256,256,16384,4,3573787
1,large,256,256,256,0,0,1,32,256,256,16384,4,5043377
1,large,256,256,256,0,0,2,64,64,256,16384,4,3765855
1,large,256,256,256,0,0,3,64,256,64,16384,4,3511364
1,large,256,256,256,0,0,5,64,256,256,9223372036854775807,5,6076162
1,large,256,256,256,0,0,6,32,64,128,16384,5,3558304
1,large,256,256,256,0,0,0,64,256,256,16384,5,3578995
1,large,256,256,256,0,0,1,32,256,256,16384,5,3571304
1,large,256,256,256,0,0,2,64,64,256,16384,5,3586977
1,large,256,256,256,0,0,3,64,256,64,16384,5,3503944
1,large,256,256,256,0,0,4,64,256,256,0,5,3546386
1,large,256,256,256,0,0,6,32,64,128,16384,6,3561579
1,large,256,256,256,0,0,0,64,256,256,16384,6,3541929
1,large,256,256,256,0,0,1,32,256,256,16384,6,3534840
1,large,256,256,256,0,0,2,64,64,256,16384,6,3541179
1,large,256,256,256,0,0,3,64,256,64,16384,6,3510613
1,large,256,256,256,0,0,4,64,256,256,0,6,3536462
1,large,256,256,256,0,0,5,64,256,256,9223372036854775807,6,5917705
1,deep,32,64,513,0,0,0,64,256,256,16384,0,857233
1,deep,32,64,513,0,0,1,32,256,256,16384,0,869340
1,deep,32,64,513,0,0,2,64,64,256,16384,0,859897
1,deep,32,64,513,0,0,3,64,256,64,16384,0,861009
1,deep,32,64,513,0,0,4,64,256,256,0,0,857263
1,deep,32,64,513,0,0,5,64,256,256,9223372036854775807,0,854549
1,deep,32,64,513,0,0,6,32,64,128,16384,0,852375
1,deep,32,64,513,0,0,1,32,256,256,16384,1,856071
1,deep,32,64,513,0,0,2,64,64,256,16384,1,857063
1,deep,32,64,513,0,0,3,64,256,64,16384,1,858394
1,deep,32,64,513,0,0,4,64,256,256,0,1,856312
1,deep,32,64,513,0,0,5,64,256,256,9223372036854775807,1,860988
1,deep,32,64,513,0,0,6,32,64,128,16384,1,864443
1,deep,32,64,513,0,0,0,64,256,256,16384,1,850903
1,deep,32,64,513,0,0,2,64,64,256,16384,2,857393
1,deep,32,64,513,0,0,3,64,256,64,16384,2,860167
1,deep,32,64,513,0,0,4,64,256,256,0,2,863331
1,deep,32,64,513,0,0,5,64,256,256,9223372036854775807,2,852486
1,deep,32,64,513,0,0,6,32,64,128,16384,2,858655
1,deep,32,64,513,0,0,0,64,256,256,16384,2,856822
1,deep,32,64,513,0,0,1,32,256,256,16384,2,849702
1,deep,32,64,513,0,0,3,64,256,64,16384,3,857533
1,deep,32,64,513,0,0,4,64,256,256,0,3,856852
1,deep,32,64,513,0,0,5,64,256,256,9223372036854775807,3,852276
1,deep,32,64,513,0,0,6,32,64,128,16384,3,858925
1,deep,32,64,513,0,0,0,64,256,256,16384,3,857744
1,deep,32,64,513,0,0,1,32,256,256,16384,3,859556
1,deep,32,64,513,0,0,2,64,64,256,16384,3,851104
1,deep,32,64,513,0,0,4,64,256,256,0,4,856793
1,deep,32,64,513,0,0,5,64,256,256,9223372036854775807,4,853386
1,deep,32,64,513,0,0,6,32,64,128,16384,4,858615
1,deep,32,64,513,0,0,0,64,256,256,16384,4,857643
1,deep,32,64,513,0,0,1,32,256,256,16384,4,857043
1,deep,32,64,513,0,0,2,64,64,256,16384,4,857643
1,deep,32,64,513,0,0,3,64,256,64,16384,4,851675
1,deep,32,64,513,0,0,5,64,256,256,9223372036854775807,5,853227
1,deep,32,64,513,0,0,6,32,64,128,16384,5,858194
1,deep,32,64,513,0,0,0,64,256,256,16384,5,858074
1,deep,32,64,513,0,0,1,32,256,256,16384,5,859396
1,deep,32,64,513,0,0,2,64,64,256,16384,5,857743
1,deep,32,64,513,0,0,3,64,256,64,16384,5,861659
1,deep,32,64,513,0,0,4,64,256,256,0,5,852395
1,deep,32,64,513,0,0,6,32,64,128,16384,6,858024
1,deep,32,64,513,0,0,0,64,256,256,16384,6,858555
1,deep,32,64,513,0,0,1,32,256,256,16384,6,856822
1,deep,32,64,513,0,0,2,64,64,256,16384,6,856652
