# revision=b417ed538d0c7c9c2e49bf9914340c81663c360f
# architecture=x86_64 vendor=amd family=25 model=17 stepping=1 microarchitecture="" features=511
# cache_line_bytes=64 l1_data_bytes=32768 l2_bytes=1048576 l3_bytes=33554432 physical_cores=2 logical_cores=4
# requested_threads=1 effective_threads=1 affinity=none spin=adaptive spin_iterations=10000 spin_duration_ns=0 uses_smt=0 uses_efficiency_cores=0 nested=0
# visible_processors=0:0 0:1 0:2 0:3
dtype,workload,m,n,k,trans_a,trans_b,configuration,tile_m,tile_n,tile_k,pack_b_minimum_elements,repetition,duration_ns
1,square,128,128,128,0,0,0,64,256,256,16384,1,1312763
1,square,128,128,128,0,0,2,64,64,256,16384,2,1303669
1,square,128,128,128,0,0,3,64,256,64,16384,2,1240494
1,square,128,128,128,0,0,4,64,256,256,0,2,1311220
1,square,128,128,128,0,0,5,64,256,256,9223372036854775807,2,1527483
1,square,128,128,128,0,0,6,32,64,128,16384,2,1302386
1,square,128,128,128,0,0,0,64,256,256,16384,2,1312563
1,square,128,128,128,0,0,1,32,256,256,16384,2,1303819
1,square,128,128,128,0,0,3,64,256,64,16384,3,1238701
1,square,128,128,128,0,0,4,64,256,256,0,3,1312882
1,square,128,128,128,0,0,5,64,256,256,9223372036854775807,3,1536917
1,square,128,128,128,0,0,6,32,64,128,16384,3,1320764
1,square,128,128,128,0,0,0,64,256,256,16384,3,1347204
1,square,128,128,128,0,0,1,32,256,256,16384,3,1323809
1,square,128,128,128,0,0,2,64,64,256,16384,3,1299352
1,square,128,128,128,0,0,4,64,256,256,0,4,1312402
1,square,128,128,128,0,0,5,64,256,256,9223372036854775807,4,1529406
1,square,128,128,128,0,0,6,32,64,128,16384,4,1322417
1,square,128,128,128,0,0,0,64,256,256,16384,4,1311620
1,square,128,128,128,0,0,1,32,256,256,16384,4,1313293
1,square,128,128,128,0,0,2,64,64,256,16384,4,1320564
1,square,128,128,128,0,0,3,64,256,64,16384,4,1240194
1,square,128,128,128,0,0,5,64,256,256,9223372036854775807,5,1563087
1,square,128,128,128,0,0,6,32,64,128,16384,5,1252262
1,square,128,128,128,0,0,0,64,256,256,16384,5,1241606
1,square,128,128,128,0,0,1,32,256,256,16384,5,1240174
1,square,128,128,128,0,0,2,64,64,256,16384,5,1254325
1,square,128,128,128,0,0,3,64,256,64,16384,5,1248146
1,square,128,128,128,0,0,4,64,256,256,0,5,1305802
1,square,128,128,128,0,0,6,32,64,128,16384,6,1302828
1,square,128,128,128,0,0,0,64,256,256,16384,6,1304610
1,square,128,128,128,0,0,1,32,256,256,16384,6,1311441
1,square,128,128,128,0,0,2,64,64,256,16384,6,1305862
1,square,128,128,128,0,0,3,64,256,64,16384,6,1243229
1,square,128,128,128,0,0,4,64,256,256,0,6,1314876
1,square,128,128,128,0,0,5,64,256,256,9223372036854775807,6,1526011
